timestamp,demand,TSD,ENGLAND_WALES_DEMAND,demand_outlier_flag,temperature,humidity,wind_speed,holiday_flag,hour,day,month,day_of_week,is_weekend,demand_lag_1,demand_lag_48,demand_lag_336,demand_rolling_3,demand_rolling_48,demand_rolling_336
2024-01-08 00:00:00+00:00,25765.0,27690.0,23345.0,False,12.25,74.0,7.5,0,0,8,1,0,0,25843.0,25833.0,21783.0,27000.0,30667.854166666668,30005.348214285714
2024-01-08 00:30:00+00:00,26291.0,28227.0,23869.0,False,12.25,74.0,7.5,0,0,8,1,0,0,25765.0,26162.0,22521.0,26116.333333333332,30666.4375,30017.199404761905
2024-01-08 01:00:00+00:00,25999.0,28246.0,23619.0,False,12.25,73.5,7.5,0,1,8,1,0,0,26291.0,25654.0,22194.0,25966.333333333332,30669.125,30028.41964285714
2024-01-08 01:30:00+00:00,25375.0,27708.0,23034.0,False,12.25,73.5,7.5,0,1,8,1,0,0,25999.0,24945.0,21510.0,26018.333333333332,30676.3125,30039.744047619046
2024-01-08 02:00:00+00:00,24984.0,27616.0,22700.0,False,12.25,73.0,7.5,0,2,8,1,0,0,25375.0,24404.0,20619.0,25888.333333333332,30685.270833333332,30051.247023809523
2024-01-08 02:30:00+00:00,24791.0,27483.0,22497.0,False,12.25,73.0,7.5,0,2,8,1,0,0,24984.0,24148.0,20099.0,25452.666666666668,30697.354166666668,30064.238095238095
2024-01-08 03:00:00+00:00,24507.0,27053.0,22138.0,False,12.25,72.5,7.5,0,3,8,1,0,0,24791.0,23565.0,19345.0,25050.0,30710.75,30078.20238095238
2024-01-08 03:30:00+00:00,24327.0,26911.0,21936.0,False,12.25,72.5,7.5,0,3,8,1,0,0,24507.0,23124.0,18743.0,24760.666666666668,30730.375,30093.565476190477
2024-01-08 04:00:00+00:00,24109.0,26526.0,21744.0,False,12.25,72.0,7.5,0,4,8,1,0,0,24327.0,22808.0,18365.0,24541.666666666668,30755.4375,30110.184523809523
2024-01-08 04:30:00+00:00,24099.0,26322.0,21759.0,False,12.25,72.0,7.5,0,4,8,1,0,0,24109.0,22525.0,18128.0,24314.333333333332,30782.541666666668,30127.279761904763
2024-01-08 05:00:00+00:00,24475.0,25547.0,22150.0,False,12.25,71.5,7.5,0,5,8,1,0,0,24099.0,22764.0,18079.0,24178.333333333332,30815.333333333332,30145.050595238095
2024-01-08 05:30:00+00:00,25698.0,26646.0,23242.0,False,12.25,71.5,7.5,0,5,8,1,0,0,24475.0,22759.0,18189.0,24227.666666666668,30850.979166666668,30164.08630952381
2024-01-08 06:00:00+00:00,28529.0,31484.0,25860.0,False,12.25,71.0,7.5,0,6,8,1,0,0,25698.0,23540.0,18847.0,24757.333333333332,30912.208333333332,30186.434523809523
2024-01-08 06:30:00+00:00,31599.0,34798.0,28655.0,False,12.25,71.0,7.5,0,6,8,1,0,0,28529.0,24153.0,19287.0,26234.0,31016.145833333332,30215.25
2024-01-08 07:00:00+00:00,34909.0,37932.0,31683.0,False,12.25,70.5,7.5,0,7,8,1,0,0,31599.0,25018.0,19917.0,28608.666666666668,31171.270833333332,30251.89285714286
2024-01-08 07:30:00+00:00,36704.0,39715.0,33332.0,False,12.25,70.5,7.5,0,7,8,1,0,0,34909.0,25810.0,20395.0,31679.0,31377.333333333332,30296.511904761905
2024-01-08 08:00:00+00:00,38617.0,40200.0,35031.0,False,12.25,70.0,7.5,0,8,8,1,0,0,36704.0,27411.0,21582.0,34404.0,31604.291666666668,30345.050595238095
2024-01-08 08:30:00+00:00,39385.0,40816.0,35715.0,False,12.25,70.0,7.5,0,8,8,1,0,0,38617.0,28673.0,22082.0,36743.333333333336,31837.75,30395.75
2024-01-08 09:00:00+00:00,40581.0,41831.0,36855.0,False,12.25,69.5,7.5,0,9,8,1,0,0,39385.0,29973.0,23168.0,38235.333333333336,32060.916666666668,30447.247023809523
2024-01-08 09:30:00+00:00,41047.0,42321.0,37247.0,False,12.25,69.5,7.5,0,9,8,1,0,0,40581.0,30830.0,23753.0,39527.666666666664,32281.916666666668,30499.071428571428
2024-01-08 10:00:00+00:00,40859.0,42171.0,37072.0,False,12.25,69.0,7.5,0,10,8,1,0,0,41047.0,31644.0,24471.0,40337.666666666664,32494.770833333332,30550.541666666668
2024-01-08 10:30:00+00:00,41015.0,42327.0,37202.0,False,12.25,69.0,7.5,0,10,8,1,0,0,40859.0,31876.0,24864.0,40829.0,32686.75,30599.315476190477
2024-01-08 11:00:00+00:00,41092.0,42530.0,37208.0,False,12.25,68.5,7.5,0,11,8,1,0,0,41015.0,32237.0,25947.0,40973.666666666664,32877.145833333336,30647.383928571428
